Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Relatório de Consulta de Valor Total de Estoque,,,,,,,,,
,,,,,,,,,
25/06/2025 14:34:10,,,,,,,,,
Filtros:,,,,,,,,,
Tipo de estoque: Comercial,,,,,,,,,
Rede: LOJA PRINCIPAL,,,,,,,,,
Loja: LJ-03  SANTA CRUZ,,,,,,,,,
Data: 31/05/2025,,,,,,,,,
Setor de Compra: Todos,,,,,,,,,
Tipo de estoque: Venda,,,,,,,,,
Departamento: Todos,,,,,,,,,
Seção: Todos,,,,,,,,,
Grupo: Todos,,,,,,,,,
Subgrupo: Todos,,,,,,,,,
Agrupar por: Produto,,,,,,,,,
Ordem: Ascendente,,,,,,,,,
Status do Produto: Todos,,,,,,,,,
Tipo de Produto: Venda Insumo Embalagem Consumo Subproduto Produto Acabado ,,,,,,,,,
Venda Externa: Todos,,,,,,,,,
Despreza os produtos sem estoque: Sim,,,,,,,,,
Aplicar movimentos extemporâneos: Não,,,,,,,,,
,,,,,,,,,
Produto,Código Interno,GTIN/PLU,Fornecedor,NCM,Quantidade de Estoque,Custo Bruto (R$),Custo Líquido (R$),Custo Total Bruto (R$),Custo Total Líquido (R$)
MOLHO DE SOJA KIKKOMAN 1L PRATOS QUENTES,253744,7896247400030,TRADBRAS S/A IMPORTACAO E EXPORTACAO,2103.10.90,2,14.9,11.899059,29.8,23.798118
ESPUMANTE SAINT GERMAIN 660ML BCO MOSCATEL,256204,7891141031731,COOPERATIVA VINICOLA AURORA LTDA,2204.10.90,7,15.176667,12.306717,106.236669,86.147019
CACHACA CABARE 700ML PRATA,250968,7898377661992,CERVEJARIA PETROPOLIS S.A,2208.40.00,3,23.72,22.036038,71.16,66.108114
FN MORANGO FLD 250GR,253165,7898592942593,CEASA (FRUTA NOBRE),0810.10.00,1437,3.402089,3.402089,4888.801893,4888.801893
REFRESCO EM PO MID 20G TANGERINA,256846,7891132082445,KOZZY LTDA - GERAL,2106.90.10,79,0.723042,0.577418,57.120318,45.616022
BISC BONO 126G DOCE LEITE,249670,7891000305270,NESTLE MERCEARIA,1905.31.00,1,2.231688,2.052751,2.231688,2.052751
BOLINHAS DE BRIGADEIRO FLORMEL ZERO ACUCAR POUCH 60G,252046,7896653708935,FLOR OURO - FLORMEL,1901.90.90,16,11.79,9.41543,188.64,150.64688
PAO DO FORNO WICKBOLD 500G 100% INTEGRAL,257284,7896066301457,WICKBOLD,1905.90.10,7,9.575,8.71845,67.025,61.02915
WRAP WICKBOLD TA PRONTO 270G ORIGINAL,250645,7896066303185,WICKBOLD,1905.90.90,10,7.219167,6.586467,72.19167,65.86467
VINHO MENRISA 750ML MERLOT SYRAH ROSE,257028,7804374002034,VD - GROWING IMPORTA,2204.21.00,5,25.26,22.92345,126.3,114.61725
VINHO BRASILEIRO ALMADEN 750ML SHIRAZ TINTO SECO,251810,7896756803742,VINICOLA MIOLO,2204.21.00,5,18.749743,15.193942,93.748715,75.96971
CERV STELLA ARTOIS LT 350ML,257004,7891991016223,AMBEV ATUAL,2203.00.00,2,4.20825,4.20825,8.4165,8.4165
ESPUMANTE AURORA 750ML BRUT ROSE,256208,7891141033117,COOPERATIVA VINICOLA AURORA LTDA,2204.10.10,4,22.067498,17.894359,88.269992,71.577436
PICOLE JUNDIA JUNDMILK 60G MILHO VERDE,257887,7898036490611,JUNDIA (PICOLE),2105.00.10,19,4.225231,3.915303,80.279389,74.390757
PICOLE JUNDIA JUNDFRUTY 60G LIMAO,257891,7898036490116,JUNDIA (PICOLE),2105.00.10,15,3.846333,3.565935,57.694995,53.489025
VASO PRESTIGE ACRILICO C/SUPORTE DE MADEIRA UN 30CM INCOLOR,254804,7893541301162,ALBANO - FLORES,3926.90.90,1,21.938,15.959895,21.938,15.959895
MAC CASARAO PREMIUM SPAGHETTI 300G,261868,7898915653847,LOURENCO DIST (NATURAIS),1902.19.00,5,8.32,7.737633,41.6,38.688165
MAC COLAVITA 500G TAGLIATELLE A NIDO,262065,8004323212678,COLAVITA BRASIL COMERCIALIMP E EXP LTDA,1902.19.00,3,13.907917,12.934418,41.723751,38.803254
IOG DANONE NATURAL 160G INTEGRAL,262888,7891025120230,RAMARI - DANONE,0403.90.00,137,2.69,2.69,368.53,368.53
"ALHO, CEBOLA E ERVAS TUDO+GOSTOSO PT 200G",263944,7898667040575,ADKO,0703.10.19,4,4.78,4.206371,19.12,16.825484
MANTEIGA TIROLEZ TABLETE 200G S/ SAL,262996,7896030520884,LATICINIOS TIROLEZ  - BALCAO / PAS,0405.10.00,79,11.222381,11.222381,886.568099,886.568099
PAO PULLMAN ARTESANO 500G PAO NA CHAPA,263062,7896002310345,BIMBO DO BRASIL LTDA (MATRIZ),1905.90.10,6,10.997247,10.01351,65.983482,60.08106
LEITE CONDENSADO MOCA 395G TP ZERO LACTOSE,259704,7891000317396,NESTLE MERCEARIA,0402.99.00,102,8.790148,7.977059,896.595096,813.660018
